Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID
201305207353,8,otc alterations permit,05/20/2013,0276,015,1080,,Bush,St,,,to comply w/ ordinance 029-13 only; installation of grab bars in sro at the following location(s): (3) per 5th fl=15+(1) toilet on 1st fl=16 total.,complete,07/31/2013,05/20/2013,05/22/2013,07/31/2013,05/22/2013,,5.0,5.0,,,05/17/2014,11000.0,11000.0,residential hotel,57.0,residential hotel,57.0,0.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Nob Hill,94109.0,"(37.78965675281155, -122.41499683931673)",130530566704
201512094574,2,new construction wood frame,12/09/2015,1448,038,1545,,Clement,St,,,"erect a four stories, type 5 construction, 3 residential dwelling and one office.",issued,09/13/2017,12/09/2015,09/13/2017,,09/13/2017,,,4.0,,,09/13/2019,748000.0,900000.0,,,apartments,3.0,2.0,,,,5.0,wood frame (5),Y,1.0,Outer Richmond,94118.0,"(37.78220934791704, -122.47601494532411)",1405929100150
201504062849,8,otc alterations permit,04/06/2015,4207,033,2929,,23rd,St,,,"remodel bathroom move non-load bearing wall 12"". remodel kitchen:close off 1 door move 1 door 3' in non-load bearing wall.",issued,04/06/2015,04/06/2015,04/06/2015,,04/06/2015,,2.0,2.0,,,03/31/2016,25000.0,33000.0,2 family dwelling,2.0,2 family dwelling,2.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Mission,94110.0,"(37.75411212113156, -122.41086290472147)",1376960392043
201305207428,3,additions alterations or repairs,05/20/2013,4107,004,1036,,Tennessee,St,0.0,,for correction to nov 201278501. additional work permit app #201211295091 (dry rot replace of roof) conversion of existing roof over garage to entry roof deck w/ parapet guardrail. certificate of appropriatrness application for s.f. planning.,filed,05/20/2013,05/20/2013,,,,Y,2.0,2.0,,,,7500.0,,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Potrero Hill,94107.0,"(37.75885614501548, -122.3896492203381)",1305395412120
201708225576,8,otc alterations permit,08/22/2017,6049,003,2820,,San Bruno,Av,,,reroofing,complete,09/08/2017,08/22/2017,08/22/2017,09/08/2017,08/22/2017,,1.0,1.0,,,02/22/2018,12800.0,12800.0,office,0.0,office,0.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,9.0,Portola,94134.0,"(37.72598346192016, -122.40325413522018)",1475653194904
201612024050,8,otc alterations permit,12/02/2016,0464A,006,3445,,Pierce,St,,,#204: kitchen + 1 bath - remove and replace in kind.  no structural work.n/a maher,complete,08/10/2017,12/02/2016,12/02/2016,08/10/2017,12/02/2016,,3.0,3.0,,,11/27/2017,30000.0,30000.0,apartments,15.0,apartments,15.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.80209670169796, -122.4400802166515)",1446181234330
201706280560,8,otc alterations permit,06/28/2017,1819,014,1479,,34th,Av,,,"demo bathroom to studs:isntall new insulation, elecvtrical,tub, shower, tile, fan, toilet, sink and finish floor and wall board, shower pan, etc, plumbing fixtures. demo kitchen to studs: install new insualtion, electrical,plumbing fixtures,hook-up sink, cabinets, wallboard, counters, floor finishes",issued,06/28/2017,06/28/2017,06/28/2017,,06/28/2017,,2.0,2.0,,,06/23/2018,40000.0,40000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,4.0,Sunset/Parkside,94122.0,"(37.75953247595083, -122.4932952068794)",1468624115687
201512316242,6,demolitions,12/31/2015,3753,099,225,,Shipley,St,,,to demolish 2 stories of warehouse- maher ordinance - extended no.155-13 not required,withdrawn,07/15/2016,12/31/2015,,,,,2.0,,,,,15000.0,,"warehouse, furniture",0.0,,,0.0,,5.0,wood frame (5),,,,6.0,South of Market,94107.0,"(37.779276677925154, -122.40326443608069)",1408061166233
201609097231,8,otc alterations permit,09/09/2016,3728,028,747,,Natoma,St,,,"repair garage sheet rock ceiling with 5/8 type ""x"" complaint #201623301",complete,10/12/2016,09/09/2016,09/09/2016,10/12/2016,09/09/2016,,3.0,3.0,,,09/04/2017,900.0,900.0,apartments,8.0,apartments,8.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,,,,,1436752165115
M772407,8,otc alterations permit,03/30/2017,0529,007,1750,,Union,St,,,street space permit - renewal of permit # m763607,issued,03/30/2017,03/30/2017,03/30/2017,,03/30/2017,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79830862582902, -122.42815625354235)",145790973178
201705166712,8,otc alterations permit,05/16/2017,0189,002,1345,,Taylor,St,,,revision to approved pa 201609076934 provide bew footins at grid line a,withdrawn,02/12/2018,05/16/2017,,,,,2.0,2.0,,,,5000.0,0.0,apartments,32.0,apartments,32.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,3.0,Nob Hill,94108.0,"(37.794819276935286, -122.41347017007028)",146328262046
201408123604,8,otc alterations permit,08/12/2014,0289,007,225,,Bush,St,0.0,,provide 7th floor evacuation plan.,complete,09/17/2014,08/12/2014,08/12/2014,09/17/2014,08/12/2014,,22.0,22.0,,Y,08/07/2015,2800.0,2100.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94104.0,"(37.79075609626243, -122.40163095635359)",1351967299400
201512225718,8,otc alterations permit,12/22/2015,6996,002,479,,Ralston,St,,,re-roofing,complete,03/09/2017,12/22/2015,12/22/2015,03/09/2017,12/22/2015,,3.0,3.0,,,12/16/2016,25000.0,25000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Oceanview/Merced/Ingleside,94132.0,"(37.72118110803339, -122.46924679004677)",1407348252744
201312063604,3,additions alterations or repairs,12/06/2013,1383,011,161,,23rd,Av,,,1)construct new elevator shaft from ground floor to 3rd floor. relocate extg furnace and replace extg water heater with new tankless. remove extg laundry room at 2nd floor. remove extg full bath at 3rd floor and construct new half bath.,issued,06/03/2014,12/06/2013,06/03/2014,,06/03/2014,,3.0,3.0,,,05/29/2015,9000.0,58800.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.78472485340802, -122.4832534616362)",132637797765
201312234807,8,otc alterations permit,12/23/2013,0269,001,235,,Montgomery,St,,,t24 lighting work for 12th fl corridor ref 201310028250,complete,03/06/2014,12/23/2013,12/23/2013,03/06/2014,12/23/2013,,31.0,31.0,,,12/18/2014,23000.0,23000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94104.0,"(37.791390539398336, -122.40285868505585)",132788066177
201703292665,8,otc alterations permit,03/29/2017,3753,279,950,,Harrison,St,216.0,,install 2 new sidewall head under e catwalk per nfpa 13,issued,03/29/2017,03/29/2017,03/29/2017,,03/29/2017,,3.0,3.0,,Y,03/24/2018,800.0,800.0,artist live/work,46.0,artist live/work,46.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,6.0,South of Market,94107.0,"(37.77836592055087, -122.40316292020007)",1457769394312
M542127,8,otc alterations permit,12/09/2014,0950,038,2700,,Green,St,,,street space permit,issued,12/09/2014,12/09/2014,12/09/2014,,12/09/2014,,,,,,,,1.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.79528965742425, -122.44383861248532)",136470385157
201303152326,8,otc alterations permit,03/15/2013,3707,062,33,,New Montgomery,St,,,tenant improvement to ste 700. minor interior demo and construction of new partitions to combine the existing ste and the adjacent vacant space and provide new conference room & phone closet.  mep under separate permit. no accessiblity per ab-017 ste to remain unoccupied.,complete,10/11/2013,03/15/2013,03/19/2013,10/11/2013,03/19/2013,,20.0,20.0,,,03/03/2016,150000.0,150000.0,office,,office,,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Financial District/South Beach,94105.0,"(37.78865276402075, -122.4013334028304)",1298914164504
M857887,8,otc alterations permit,11/21/2017,0419A,039,123,,Retiro,Wy,0.0,,street space,issued,11/21/2017,11/21/2017,11/21/2017,,11/21/2017,,,,,,,,0.0,,,,,,,,,,,,2.0,Marina,94123.0,"(37.8057101564864, -122.43827188872797)",1487866434676
M641687,8,otc alterations permit,12/01/2015,3011,032,141,,San Pablo,Av,,,street space,issued,12/01/2015,12/01/2015,12/01/2015,,12/01/2015,,,,,,,,1.0,,,,,,,,,,,,7.0,West of Twin Peaks,94127.0,"(37.7373118016773, -122.46194374862546)",1404880495936
201312033238,8,otc alterations permit,12/03/2013,0828,011,652,,Oak,St,,,to obtain final inspection for work approved under pa#2006-0717-6731. all work is complete.,complete,03/05/2014,12/03/2013,12/03/2013,03/05/2014,12/03/2013,,3.0,3.0,,,11/28/2014,1.0,1.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Hayes Valley,94117.0,"(37.77434696050384, -122.43012172152154)",1325906366030
M574207,8,otc alterations permit,03/31/2015,0303,013A,642,,Hyde,St,,,street space permit,issued,03/31/2015,03/31/2015,03/31/2015,,03/31/2015,,,,,,,,1.0,,,,,,,,,,,,6.0,Tenderloin,94109.0,"(37.78690829942427, -122.41632961302035)",137629667308
201511051890,8,otc alterations permit,11/05/2015,4246,001,2800,,03rd,St,,,add ventilation and air conditioning to unoccupied nurseries. ref pa 2015-0727-2561,complete,11/18/2015,11/05/2015,11/16/2015,11/18/2015,11/16/2015,,1.0,1.0,,,11/10/2016,25000.0,25000.0,"warehouse, furniture",0.0,greenhouse,0.0,2.0,,2.0,constr type 2,2.0,constr type 2,,10.0,Potrero Hill,94107.0,"(37.75371767306539, -122.38835913796719)",1402352172542
201705106276,8,otc alterations permit,05/10/2017,2704,020,387,,Corbett,Av,,,"during roof replacement, (3) 33'x49"" velux skylights will be mounted on treated 2""x6"" curbs that will be flashed accordingly. distance between rafters is 16"" oc. distance from property line is 15:7'",complete,05/19/2017,05/10/2017,05/10/2017,05/19/2017,05/10/2017,,2.0,2.0,,,05/05/2018,1500.0,1500.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.7591844538038, -122.44567940871136)",1462676142361
201410169072,8,otc alterations permit,10/16/2014,2851,022,1,,Crestline,Dr,,,soft story seimsmic retrofit of multi unit apartment building per sf soft story ordinance chapter 34b iebc 2012,complete,04/27/2015,10/16/2014,10/16/2014,04/27/2015,10/16/2014,,4.0,4.0,,,09/30/2017,110000.0,110000.0,apartments,12.0,apartments,12.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Twin Peaks,94131.0,"(37.74910341483698, -122.44508042073342)",1359149246309
201710171486,8,otc alterations permit,10/17/2017,0208,026,601,,Montgomery,St,,,elevator upgrade: add 4 new smoke detectors. add 4 new addressable control/relays. add one new conventional heat detector with monitoring modules. n/a for maher,issued,10/26/2017,10/17/2017,10/26/2017,,10/26/2017,,20.0,20.0,,Y,04/26/2018,10000.0,10000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Chinatown,94111.0,"(37.79483606381786, -122.40352689683759)",148370662299
201409176555,8,otc alterations permit,09/17/2014,1412,014,295,,21st,Av,,,soft story seismic retrofit of multi-unit apartment building per san francisco soft story ordinance sfbc chapter 34-b iebc 2012 appendix a-4,complete,01/07/2015,09/17/2014,09/17/2014,01/07/2015,09/17/2014,,4.0,4.0,,,09/01/2017,120000.0,120000.0,apartments,18.0,apartments,18.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.782452101265605, -122.48083270930329)",1355827242182
201303252927,8,otc alterations permit,03/25/2013,2039,019,318,,Noriega,St,,,"for admin purposes only to obtain final inspection for work approved under pa 7911250,per dbi records the permit was issued on 3-25-80 pa 8006116,8312361 were issued for this project. a cfc for 8312361 was issued on 3-30-84. documentation has been provided to show that the work was done bet 1980 &",complete,03/29/2013,03/25/2013,03/25/2013,03/29/2013,03/25/2013,,3.0,3.0,,,03/20/2014,1.0,1.0,2 family dwelling,2.0,2 family dwelling,2.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,Inner Sunset,94122.0,"(37.75489574146788, -122.4671975188505)",1299700470039
201609168000,3,additions alterations or repairs,09/16/2016,1536,014,1700,,Anza,St,0.0,,compliance with 2013 san francisco building code sec 34b & 2012 iebc apex a-4. apportioned to r-2 see 201609168003 for apportioned to b.,complete,01/19/2018,09/16/2016,05/31/2017,01/19/2018,05/31/2017,,3.0,3.0,,,05/26/2018,83200.0,58400.0,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Inner Richmond,94118.0,"(37.7792338774804, -122.46648319492274)",1437767421977
201410068189,8,otc alterations permit,10/06/2014,3566,009A,386,,Dolores,St,,,all work required for condo conversion. to comply w/ physical inspection report. application cc-7703,complete,03/23/2015,10/06/2014,10/06/2014,03/23/2015,10/06/2014,,3.0,3.0,,,10/01/2015,15000.0,15000.0,apartments,3.0,apartments,3.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.763259437946004, -122.42663889763094)",1357960247414
201608195462,8,otc alterations permit,08/19/2016,3780,008,42,,Decatur,St,,,revision to 201512225696 replace operable and fixed  skylights. new revised mechanical. maher na,complete,02/02/2017,08/19/2016,09/28/2016,02/02/2017,09/28/2016,,2.0,2.0,,,09/23/2017,25000.0,25000.0,office,,office,,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94103.0,"(37.772215908652065, -122.40607373474236)",1434297290848
201409186733,8,otc alterations permit,09/18/2014,7072,006,563,,Head,St,,,repair front stair less than 50% in kind,complete,11/12/2014,09/18/2014,09/18/2014,11/12/2014,09/18/2014,,2.0,2.0,,,09/13/2015,7400.0,7400.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,11.0,Oceanview/Merced/Ingleside,94132.0,"(37.71727217766723, -122.4647108260195)",1356067220334
201608316522,8,otc alterations permit,08/31/2016,3751,155,795,,Folsom,St,,,mechanical and electrical work for t.i.  on the 4th floor. ref app#201607122062. n/a for maher,complete,11/22/2017,08/31/2016,09/02/2016,11/22/2017,09/02/2016,,6.0,6.0,,,08/18/2019,250000.0,250000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,South of Market,94107.0,"(37.78190186794058, -122.40064468771055)",1435784165854
201704214572,8,otc alterations permit,04/21/2017,3039,009,270,,Yerba Buena,Av,,,replace 6 windows in rear & side yards on 2nd level to match lower leverl wood clad windows.  u factor. .32,complete,07/31/2017,04/21/2017,04/21/2017,07/31/2017,04/21/2017,,2.0,2.0,,,04/16/2018,10000.0,10000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.73400388100221, -122.4596306187031)",1460361150657
201305156933,8,otc alterations permit,05/15/2013,8709,007,1700,,Owens,St,,,4th floor: add and relocate 18 sprinkler heads for new walls and ceiling grid.,complete,06/07/2013,05/15/2013,05/15/2013,06/07/2013,05/15/2013,,5.0,5.0,,Y,05/10/2014,5950.0,9250.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Mission Bay,94158.0,"(37.76705640794848, -122.39365945555296)",1304755437413
201710302611,8,otc alterations permit,10/30/2017,0327,025,1,,Stockton,St,,,deferred submittal - steel storage racks w/ calculations. ref pa #201608296255.,issued,11/10/2017,10/30/2017,11/10/2017,,11/10/2017,,2.0,2.0,,,11/10/2018,50000.0,50000.0,retail sales,,retail sales,,2.0,,2.0,constr type 2,2.0,constr type 2,,3.0,Financial District/South Beach,94102.0,"(37.78584544618807, -122.40652160493985)",148525369777
201302130104,8,otc alterations permit,02/13/2013,3026,055,872,,Foerster,St,,,reroofing,issued,02/13/2013,02/13/2013,02/13/2013,,02/13/2013,,2.0,2.0,,,02/08/2014,7000.0,7000.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,West of Twin Peaks,94127.0,"(37.735621155892794, -122.44726819704297)",1296063150320
201708286107,8,otc alterations permit,08/28/2017,0267,015,235,,Pine,St,,,"ti 18th fl, ste 1850 as per approved drawings 2017-0712-1663. re-program existing facu to accommodate the system change. 3 multi-candela speaker/strobe, ceiling mount, white, fire, clear lines",complete,09/26/2017,08/28/2017,08/28/2017,09/26/2017,08/28/2017,,25.0,25.0,,Y,02/28/2018,13000.0,13000.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Financial District/South Beach,94104.0,"(37.791903723855036, -122.40028260412765)",147639566161
201602179765,3,additions alterations or repairs,02/17/2016,4734,002,1029,,Oakdale,Av,,,"provide a new sprinklers monitoring system, water flow and valve monitoring",withdrawn,06/22/2016,02/17/2016,,,,,2.0,2.0,,Y,,38687.0,,apartments,6.0,apartments,6.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,10.0,Bayview Hunters Point,94124.0,"(37.728873955471535, -122.38106370299171)",1412727503414
201310119103,3,additions alterations or repairs,10/11/2013,0284,004,500,,Sutter,St,,,"install roof mounted powered davit carriage & tract sys for bldg maintenance & repairs. work will include adding structure above roof &  mounting steel track w/davit carriage. extend perimeter columns above (e) roof & (e) parapet hght, extending parapet to hght of structure for conceleament purpose",filed,10/11/2013,10/11/2013,,,,,9.0,9.0,,,,500000.0,500000.0,office,0.0,office,0.0,2.0,,2.0,constr type 2,2.0,constr type 2,,3.0,Nob Hill,94108.0,"(37.789439265314066, -122.40889284264858)",132058566916
201404153279,8,otc alterations permit,04/15/2014,3780,004F,572,,07th,St,,,"add 1 10 ton rooftop ac unit, 6 split system ac units, 2 rooftop fans, 2 gravity vents and all associated ductwork and refrigerant piping",filed,04/15/2014,04/15/2014,,,,,2.0,2.0,,,,200000.0,0.0,office,0.0,office,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,,6.0,South of Market,94103.0,"(37.773160224381286, -122.40393328580363)",1338710167559
201610079806,8,otc alterations permit,10/07/2016,3756,011,345,,09th,St,,,"provide handicap accessible entrance, add accessible door, material to match existing windows, transam to remain. n/a ordinance #155-13",complete,04/20/2017,10/07/2016,10/18/2016,04/20/2017,10/18/2016,,3.0,3.0,,,10/13/2017,10000.0,25000.0,retail sales,0.0,retail sales,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,,6.0,South of Market,94103.0,"(37.77342069981301, -122.41068450884352)",1440255166421
201505085760,8,otc alterations permit,05/08/2015,0033,003,160,,Bay,St,,,to obtain final inspection for work approved under pa201303061634.,complete,11/25/2015,05/08/2015,05/08/2015,11/25/2015,05/08/2015,,4.0,4.0,,,05/02/2016,5000.0,5000.0,apartments,84.0,apartments,84.0,0.0,,3.0,constr type 3,3.0,constr type 3,,3.0,North Beach,94133.0,"(37.80655414175002, -122.40993708658227)",1380908347251
M400647,8,otc alterations permit,06/10/2013,3568,029,122,,Albion,St,,,street space permit,issued,06/10/2013,06/10/2013,06/10/2013,,06/10/2013,,,,,,,,1.0,,,,,,,,,,,,8.0,Mission,94110.0,"(37.764306011842955, -122.42311573536443)",1307501159049
201409095842,8,otc alterations permit,09/09/2014,1197,001,1701,,Grove,St,,,to obtain final inspection for work approved under pa#200011216390. all work is complete.,issued,09/09/2014,09/09/2014,09/09/2014,,09/09/2014,,3.0,3.0,,,09/04/2015,1.0,1.0,apartments,6.0,apartments,6.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,5.0,Lone Mountain/USF,94117.0,"(37.77491596321732, -122.44479157919532)",1354988240118
201410310463,8,otc alterations permit,10/31/2014,1731,025,1290,,20th,Av,,,"unit #203: remodel bathroom and kitchten, convert a closet to a den area. add a new washer and dry per plan. maher n/a.",issued,12/17/2014,10/31/2014,12/17/2014,,12/17/2014,,7.0,7.0,,,12/12/2015,10000.0,30000.0,apartments,42.0,apartments,42.0,2.0,,3.0,constr type 3,3.0,constr type 3,,4.0,Sunset/Parkside,94122.0,"(37.763774708907924, -122.47797904331227)",13610271500
201312194584,8,otc alterations permit,12/19/2013,2704,037,3258,,Market,St,,,to obtain final inspeciton for work approved under pa #200511037344.  all work is complete.,complete,05/11/2015,12/19/2013,12/19/2013,05/11/2015,12/19/2013,,3.0,3.0,,,12/14/2014,1.0,1.0,apartments,6.0,apartments,6.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Castro/Upper Market,94114.0,"(37.75874439471265, -122.44510881991673)",1327593245920
M782730,8,otc alterations permit,05/03/2017,1823,004,1427,,30th,Av,,,street space,issued,05/03/2017,05/03/2017,05/03/2017,,05/03/2017,,,,,,,,1.0,,,,,,,,,,,,4.0,Sunset/Parkside,94122.0,"(37.7606126878465, -122.48907011410716)",1461729115882
201406279749,8,otc alterations permit,06/27/2014,0602,001,2255,,Octavia,St,,,kitchen and sitting room remodel with new windows and doors to rear yard. maher not required,complete,11/04/2016,06/27/2014,03/04/2015,11/04/2016,03/04/2015,,3.0,3.0,,,02/27/2016,68000.0,68000.0,1 family dwelling,1.0,1 family dwelling,1.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Pacific Heights,94109.0,"(37.79311979952408, -122.42823966525485)",134698076120
201406128185,8,otc alterations permit,06/12/2014,3710,019,45,,Fremont,St,,,"8th floor: ref t.i. #201404022274: remove and replace 11 smoke detectors, 1 control relay,1 monitor modules, 4 door holders.  4 speaker/strobes.n/a for the maher ordinance #155-13",complete,11/24/2014,06/12/2014,06/12/2014,11/24/2014,06/12/2014,,32.0,32.0,,Y,06/07/2015,11800.0,11800.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,6.0,Financial District/South Beach,94105.0,"(37.79124240907513, -122.39713339809133)",1344998164588
M542607,8,otc alterations permit,12/11/2014,1381,010,151,,21st,Av,,,street space,issued,12/11/2014,12/11/2014,12/11/2014,,12/11/2014,,,,,,,,1.0,,,,,,,,,,,,1.0,Outer Richmond,94121.0,"(37.78495931313658, -122.48111894531577)",136498897662
M540787,8,otc alterations permit,12/02/2014,0272,019,755,,Pine,St,,,street space,issued,12/02/2014,12/02/2014,12/02/2014,,12/02/2014,,,,,,,,1.0,,,,,,,,,,,,3.0,Nob Hill,94108.0,"(37.790983312403576, -122.40828543246161)",136401166256
201504224353,8,otc alterations permit,04/22/2015,1617,032,714,,28th,Av,,,add work shop and half bath at ground  floor per plan.,complete,01/26/2016,04/22/2015,04/24/2015,01/26/2016,04/24/2015,,3.0,3.0,,,04/18/2016,16000.0,16000.0,apartments,3.0,apartments,3.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,1.0,Outer Richmond,94121.0,"(37.7757671516459, -122.48741597236027)",1379008107019
201506098577,8,otc alterations permit,06/09/2015,0451,188,1050,,North Point,St,802.0,,"unit 802 - upgrade kitchen: new cabinets, appliances, floor tiles - replacement; upgrade bathroom: new toilet, vanity, machine cabinet; install 3 hardwired smoke alarms (under separate electricl permit) & co alarm. smooth ceilings throughout with smooth surface. refinish floor throughout",cancelled,12/14/2015,06/09/2015,06/09/2015,,06/09/2015,,18.0,18.0,,,06/03/2016,35000.0,35000.0,apartments,258.0,apartments,258.0,0.0,,2.0,constr type 2,2.0,constr type 2,,2.0,Russian Hill,94109.0,"(37.80542643760217, -122.42481357094286)",1384592435002
201309116520,8,otc alterations permit,09/11/2013,6554,018,4180,,26th,St,,,reroofing,issued,09/11/2013,09/11/2013,09/11/2013,,09/11/2013,,3.0,3.0,,,09/06/2014,7600.0,7600.0,1 family dwelling,1.0,1 family dwelling,1.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,8.0,Noe Valley,94114.0,"(37.74836686883964, -122.43333684920164)",1317185207362
201410169041,8,otc alterations permit,10/16/2014,0174,009,714,,Sansome,St,,,"repair existing plumbing at restroom, construct new walls to be an office. n/a maher ordinance",issued,10/20/2014,10/16/2014,10/20/2014,,10/20/2014,,2.0,2.0,,,10/15/2015,18000.0,18000.0,office,0.0,office,0.0,2.0,,3.0,constr type 3,3.0,constr type 3,,3.0,Chinatown,94111.0,"(37.79716510806751, -122.40169005943505)",1359103359318
201301158013,8,otc alterations permit,01/15/2013,0208,026,601,,Montgomery,St,,,"15th floor fire sprinkler system upgrade, relcoate 67 pendent sprinkler heads. t.i. #2012.10.24.2694.",complete,03/21/2013,01/15/2013,01/15/2013,03/21/2013,01/15/2013,,20.0,20.0,,Y,01/10/2014,34505.0,34505.0,office,0.0,office,0.0,2.0,,1.0,constr type 1,1.0,constr type 1,,3.0,Chinatown,94111.0,"(37.79483606381786, -122.40352689683759)",129337262299
M427367,8,otc alterations permit,09/18/2013,1287,020,1426,,Shrader,St,0.0,,street space,issued,09/18/2013,09/18/2013,09/18/2013,,09/18/2013,,,,,,,,1.0,,,,,,,,,,,,5.0,Haight Ashbury,94117.0,"(37.76198749786417, -122.45038522823977)",1317932417394
M730187,8,otc alterations permit,10/14/2016,6555,006,1614,,Castro,St,,,street space,issued,07/07/2017,10/14/2016,07/07/2017,,07/07/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Noe Valley,94114.0,"(37.748410591175855, -122.43408480493171)",1469659207391
M768447,8,otc alterations permit,03/15/2017,3604,041,429,,Liberty,St,,,street space,issued,03/15/2017,03/15/2017,03/15/2017,,03/15/2017,,,,,,,,1.0,,,,,,,,,,,,8.0,Castro/Upper Market,94114.0,"(37.756870544323576, -122.43087476162322)",1456231161424
201401166498,8,otc alterations permit,01/16/2014,8709,003,1400,,Owens,St,,,build temporary wood deck between 2 portable trailers. compliance with ordinance #155-13 not required. excavation <50 cu.yd. maher ord not required.,complete,04/01/2014,01/16/2014,01/27/2014,04/01/2014,01/27/2014,,0.0,0.0,,,01/22/2015,20000.0,50000.0,vacant lot,0.0,vacant lot,0.0,2.0,,,,,,,6.0,Mission Bay,94158.0,"(37.770263840226704, -122.39638629925847)",1330021473922
201512013845,8,otc alterations permit,12/01/2015,7281,005,100,,Armory,Dr,,,"modification to (e) att telecom facility: install 2 (n) dus41 inside (e) 19"" rack; install (n) dcg surge suppressor; install 3 (n) rrus-32; install (n) innerduct for fiber & dc power; r&r 3 (e) antennas with 3 (n) antennas",complete,10/19/2016,12/01/2015,08/17/2016,10/19/2016,08/17/2016,,2.0,2.0,,,08/12/2017,21000.0,21000.0,antenna,0.0,antenna,0.0,2.0,,5.0,wood frame (5),5.0,wood frame (5),,7.0,Lakeshore,94132.0,"(37.72962622073332, -122.50374761257319)",1404946290629
201303273147,8,otc alterations permit,03/27/2013,0482,019,3300,,Laguna,St,,,"#2 to comply complaint# 201394012 -kitchen remodeling, replace wall and base cabinet, replace counter top, faucet and electrical outlet. bathroom remodel, replace cabinet and sink. kitchen & bath only for unit #2. no lighting change.",complete,04/18/2013,03/27/2013,03/27/2013,04/18/2013,03/27/2013,,4.0,4.0,,,03/22/2014,6000.0,16000.0,apartments,12.0,apartments,12.0,0.0,,5.0,wood frame (5),5.0,wood frame (5),,2.0,Marina,94123.0,"(37.80164153954225, -122.43105496750566)",129996971623
